key,value
262,262
44,44
420,420
106,106
372,372
229,229
16,16
388,388
241,241
332,332
301,301
170,170
473,473
406,406
476,476
401,401
253,253
29,29
51,51
76,76
328,328
228,228
424,424
327,327
369,369
251,251
12,12
400,400
217,217
50,50
285,285
466,466
475,475
391,391
308,308
450,450
207,207
53,53
196,196
307,307
89,89
275,275
49,49
225,225
226,226
299,299
113,113
339,339
131,131
278,278
219,219
300,300
147,147
439,439
389,389
138,138
310,310
25,25
340,340
348,348
365,365
189,189
240,240
134,134
269,269
266,266
206,206
392,392
385,385
167,167
343,343
26,26
236,236
267,267
193,193
282,282
173,173
358,358
2,2
103,103
59,59
350,350
342,342
164,164
409,409
73,73
114,114
355,355
184,184
488,488
115,115
52,52
416,416
485,485
120,120
397,397
375,375
248,248
10,10
490,490
371,371
183,183
463,463
146,146
486,486
276,276
38,38
23,23
55,55
121,121
64,64
235,235
314,314
181,181
141,141
296,296
140,140
239,239
160,160
238,238
188,188
257,257
208,208
382,382
438,438
11,11
352,352
218,218
185,185
210,210
102,102
144,144
68,68
45,45
474,474
91,91
17,17
231,231
216,216
360,360
92,92
444,444
63,63
24,24
398,398
443,443
129,129
215,215
234,234
66,66
90,90
272,272
417,417
154,154
43,43
22,22
107,107
132,132
46,46
298,298
384,384
393,393
105,105
21,21
255,255
256,256
325,325
204,204
453,453
151,151
174,174
177,177
446,446
489,489
192,192
74,74
111,111
277,277
373,373
335,335
9,9
290,290
136,136
237,237
291,291
223,223
72,72
171,171
0,0
30,30
395,395
442,442
376,376
156,156
387,387
427,427
402,402
364,364
411,411
313,313
445,445
172,172
65,65
56,56
370,370
415,415
268,268
286,286
479,479
127,127
182,182
233,233
483,483
289,289
377,377
230,230
457,457
100,100
429,429
198,198
292,292
329,329
1,1
265,265
211,211
28,28
322,322
194,194
85,85
315,315
341,341
71,71
3,3
250,250
333,333
60,60
495,495
412,412
302,302
448,448
478,478
139,139
353,353
61,61
304,304
212,212
422,422
220,220
4,4
158,158
82,82
441,441
47,47
108,108
430,430
481,481
258,258
294,294
482,482
318,318
452,452
98,98
468,468
284,284
344,344
168,168
31,31
126,126
297,297
431,431
27,27
166,166
135,135
306,306
232,232
460,460
37,37
413,413
433,433
70,70
152,152
242,242
323,323
104,104
469,469
337,337
496,496
356,356
83,83
423,423
421,421
379,379
128,128
407,407
456,456
493,493
263,263
390,390
145,145
440,440
117,117
67,67
93,93
459,459
435,435
470,470
484,484
202,202
165,165
249,249
498,498
80,80
116,116
34,34
150,150
491,491
169,169
361,361
35,35
190,190
118,118
180,180
414,414
32,32
447,447
122,122
81,81
458,458
222,222
69,69
109,109
436,436
245,245
5,5
288,288
178,178
143,143
97,97
197,197
176,176
6,6
161,161
175,175
271,271
261,261
283,283
345,345
227,227
191,191
419,419
244,244
179,179
408,408
359,359
40,40
48,48
252,252
36,36
383,383
155,155
346,346
75,75
317,317
336,336
396,396
494,494
319,319
338,338
259,259
159,159
254,254
368,368
374,374
311,311
380,380
123,123
274,274
403,403
326,326
331,331
279,279
426,426
14,14
57,57
367,367
162,162
15,15
214,214
209,209
451,451
200,200
133,133
112,112
354,354
125,125
13,13
137,137
316,316
18,18
94,94
201,201
432,432
247,247
243,243
260,260
33,33
84,84
293,293
464,464
163,163
42,42
461,461
362,362
465,465
324,324
119,119
54,54
142,142
20,20
246,246
273,273
428,428
351,351
86,86
472,472
386,386
281,281
157,157
499,499
334,334
19,19
454,454
399,399
366,366
320,320
58,58
378,378
39,39
410,410
305,305
449,449
195,195
405,405
110,110
79,79
101,101
280,280
434,434
87,87
130,130
487,487
295,295
477,477
347,347
462,462
99,99
471,471
7,7
8,8
62,62
467,467
418,418
95,95
437,437
153,153
497,497
480,480
394,394
349,349
199,199
213,213
124,124
270,270
312,312
309,309
321,321
492,492
77,77
149,149
264,264
96,96
303,303
221,221
330,330
187,187
287,287
78,78
205,205
224,224
455,455
357,357
381,381
88,88
203,203
148,148
41,41
186,186
363,363
425,425
404,404


