key,value
42,42
5,5
72,72
94,94
53,53
61,61
14,14
0,0
74,74
19,19
28,28
7,7
78,78
18,18
64,64
82,82
3,3
83,83
69,69
25,25
60,60
36,36
68,68
11,11
35,35
58,58
51,51
80,80
47,47
24,24
13,13
44,44
12,12
65,65
29,29
20,20
87,87
48,48
15,15
30,30
55,55
52,52
85,85
75,75
70,70
22,22
57,57
31,31
2,2
54,54
98,98
43,43
6,6
9,9
23,23
59,59
86,86
96,96
33,33
63,63
81,81
21,21
92,92
37,37
40,40
8,8
41,41
66,66
79,79
99,99
1,1
50,50
88,88
90,90
27,27
76,76
84,84
62,62
16,16
95,95
34,34
26,26
45,45
4,4
17,17
73,73
91,91
46,46
39,39
32,32
93,93
97,97
56,56
10,10
67,67
49,49
89,89
71,71
38,38
77,77
